result,p11spw,p11sp,p12spw,p1net,p1error,p21spw,p2sp,p22spw,p2net,p2error
0,0.87,0.46,0.66,0.69,27,0.63,0.36,0.43,0.58,26
0,0.69,0.8,0.56,0.6,18,0.55,0.68,0.33,0.54,55
0,0.68,0.58,0.54,0.54,29,0.58,0.63,0.55,0.53,55
0,0.63,0.7,0.61,0.82,34,0.58,0.55,0.49,0.61,58
0,0.68,0.68,0.86,0.73,15,0.57,0.62,0.23,0.45,29
0,0.76,0.52,0.63,0.47,27,0.63,0.44,0.42,0.48,41
1,0.65,0.65,0.39,0.51,33,0.8,0.63,0.66,0.8,19
1,0.63,0.56,0.44,0.53,43,0.7,0.68,0.64,0.5,21
0,0.83,0.73,0.59,0.61,32,0.57,0.7,0.53,0.64,27
1,0.54,0.66,0.52,0.54,20,0.72,0.59,0.56,0.76,30
1,0.64,0.65,0.51,0.63,87,0.63,0.67,0.42,0.65,98
0,0.62,0.78,0.52,0.71,45,0.54,0.6,0.42,0.54,57
0,0.76,0.57,0.39,0.55,57,0.62,0.56,0.44,0.41,33
0,0.57,0.74,0.46,0.57,33,0.58,0.72,0.37,0.65,60
0,0.7,0.62,0.42,0.66,45,0.65,0.71,0.38,0.35,46
0,0.78,0.68,0.46,0.6,27,0.59,0.59,0.36,0.63,43
1,0.59,0.62,0.49,0.61,48,0.68,0.78,0.64,0.62,31
0,0.68,0.74,0.58,0.75,28,0.71,0.49,0.37,0.48,35
0,0.63,0.73,0.58,0.42,47,0.57,0.68,0.52,0.71,36
0,0.55,0.54,0.56,0.73,37,0.78,0.68,0.74,0.75,14
1,0.68,0.59,0.41,0.61,37,0.61,0.65,0.5,0.59,55
1,0.71,0.63,0.28,0.45,34,0.8,0.58,0.41,0.71,39
1,0.66,0.68,0.28,0.83,39,0.68,0.68,0.58,0.59,33
0,0.69,0.64,0.32,0.59,28,0.82,0.63,0.65,0.55,20
0,0.95,0.58,0.46,0.5,14,0.5,0.75,0.46,0.58,14
0,0.69,0.48,0.79,0.6,22,0.64,0.66,0.3,0.8,52
0,0.78,0.57,0.51,0.72,58,0.58,0.63,0.48,0.69,43
1,0.68,0.69,0.36,0.63,46,0.83,0.62,0.39,0.64,42
0,0.64,0.69,0.76,0.67,11,0.53,0.51,0.29,0.53,34
1,0.55,0.71,0.37,0.6,24,0.89,0.69,0.55,0.86,17
1,0.65,0.6,0.44,0.73,33,0.84,0.52,0.45,0.87,38
1,0.68,0.65,0.45,0.53,48,0.75,0.59,0.6,0.73,39
0,0.67,0.55,0.59,0.64,43,0.69,0.68,0.43,0.71,46
1,0.72,0.56,0.44,0.56,22,0.84,0.79,0.69,0.75,31
1,0.64,0.69,0.57,0.47,37,0.68,0.72,0.62,0.53,39
1,0.56,0.66,0.46,0.72,42,0.77,0.64,0.54,0.69,33
1,0.66,0.62,0.51,0.71,106,0.61,0.65,0.59,0.62,42
1,0.56,0.66,0.56,0.71,46,0.68,0.71,0.63,0.82,37
1,0.75,0.6,0.48,0.35,44,0.75,0.62,0.45,0.6,45
1,0.56,0.58,0.42,0.42,32,0.88,0.55,0.7,0.68,18
1,0.63,0.62,0.5,0.63,30,0.81,0.77,0.39,0.64,18
1,0.64,0.69,0.42,0.83,26,0.85,0.6,0.37,0.59,28
0,0.7,0.65,0.57,0.64,44,0.66,0.65,0.43,0.54,40
1,0.46,0.59,0.34,0.53,46,0.63,0.62,0.57,0.55,33
0,0.74,0.62,0.57,0.62,52,0.63,0.64,0.46,0.69,33
0,0.55,0.59,0.63,0.56,36,0.57,0.73,0.54,0.52,48
0,0.71,0.64,0.58,0.56,24,0.7,0.62,0.51,0.76,45
1,0.63,0.63,0.43,0.69,54,0.67,0.7,0.66,0.58,24
0,0.71,0.68,0.42,0.51,56,0.66,0.61,0.55,0.66,49
1,0.57,0.66,0.6,0.64,42,0.75,0.65,0.54,0.62,34
1,0.75,0.51,0.33,0.76,79,0.67,0.76,0.41,0.48,18
1,0.58,0.56,0.46,0.68,42,0.65,0.68,0.63,0.44,28
1,0.44,0.6,0.3,0.61,17,0.8,0.78,0.54,0.72,7
0,0.72,0.66,0.57,0.64,28,0.72,0.63,0.43,0.59,34
0,0.61,0.67,0.61,0.74,51,0.69,0.6,0.45,0.52,50
1,0.45,0.67,0.4,0.57,28,0.76,0.68,0.61,0.81,15
0,0.75,0.69,0.57,0.7,28,0.53,0.61,0.35,0.5,25
1,0.58,0.62,0.41,0.65,51,0.64,0.57,0.61,0.56,34
1,0.52,0.63,0.65,0.57,36,0.67,0.66,0.59,0.65,51
0,0.74,0.6,0.63,0.58,21,0.69,0.64,0.52,0.66,42
0,0.75,0.66,0.52,0.91,22,0.56,0.76,0.3,0.52,37
1,0.72,0.57,0.41,0.83,33,0.89,0.58,0.7,0.75,16
1,0.62,0.64,0.27,0.67,25,0.83,0.6,0.75,0.56,15
1,0.6,0.39,0.36,0.57,30,0.81,0.67,0.72,0.78,11
0,0.78,0.66,0.57,0.84,42,0.75,0.54,0.67,0.57,36
1,0.55,0.59,0.45,0.64,65,0.63,0.67,0.49,0.5,34
1,0.6,0.57,0.51,0.52,74,0.63,0.52,0.52,0.66,41
1,0.51,0.69,0.56,0.71,37,0.67,0.6,0.63,0.61,28
0,0.85,0.63,0.5,0.58,22,0.58,0.66,0.41,0.63,41
1,0.52,0.71,0.5,0.86,31,0.64,0.67,0.52,0.68,48
1,0.63,0.62,0.33,0.73,25,0.78,0.72,0.52,0.67,29
1,0.55,0.71,29,0.71,24,0.78,0.73,0.82,0.83,13
0,0.7,0.64,0.59,0.66,28,0.55,0.69,0.47,0.56,31
0,0.66,0.85,0.47,0.68,27,0.56,0.65,0.51,0.71,31
1,0.67,0.61,0.42,0.72,63,0.74,0.56,0.5,0.69,47
1,0.62,0.7,0.48,0.52,53,0.71,0.62,0.71,0.63,30
1,0.61,0.57,0.26,0.63,48,0.68,0.59,0.6,0.53,23
1,0.68,0.62,0.6,0.67,45,0.76,0.67,0.58,0.58,63
1,0.72,0.66,0.41,0.59,47,0.72,0.57,0.53,0.72,56
1,0.39,0.68,0.45,0.71,48,0.62,0.68,0.72,0.64,20
0,0.72,0.56,0.53,0.72,41,0.64,0.7,0.44,0.63,29
1,0.66,0.64,0.38,0.35,23,0.8,0.64,0.61,0.94,17
0,0.62,0.66,0.52,0.62,62,0.62,0.59,0.42,0.66,81
1,0.57,0.68,0.43,0.54,44,0.67,0.65,0.59,0.68,33
0,0.73,0.67,0.47,0.75,50,0.59,0.67,0.49,0.59,56
1,0.62,0.6,0.38,0.65,48,0.68,0.69,0.53,0.71,34
1,0.5,0.67,0.48,0.67,52,0.67,0.65,0.66,0.53,14
